vendor_id,is_anomaly,anomaly_type,severity,expired_certifications,explanation
VND-0001,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 50.2 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0002,FALSE,NORMAL,LOW,None,"Vendor Weber, Smith and Mcguire shows no anomalous risk indicators; certifications current and risk profile within acceptable range."
VND-0003,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0004,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0005,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 44.0 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0006,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,None,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0007,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,None,"Vendor has a documented breach history while holding full_admin access at scope level 10, posing elevated exposure risk."
VND-0008,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,ISO27001,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0009,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 55.2 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0010,FALSE,NORMAL,LOW,None,"Vendor Brown, Clark and Marshall shows no anomalous risk indicators; certifications current and risk profile within acceptable range."
VND-0011,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,ISO27001,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0012,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0013,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0014,TRUE,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Vendor has expired security certification(s) (ISO27001) that should have been renewed.
VND-0015,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,None,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0016,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,SOC2,"Vendor has a documented breach history while holding full_admin access at scope level 10, posing elevated exposure risk."
VND-0017,FALSE,NORMAL,LOW,None,Vendor Lang PLC shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0018,FALSE,NORMAL,LOW,None,"Vendor Sanders, Davis and Fisher shows no anomalous risk indicators; certifications current and risk profile within acceptable range."
VND-0019,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0020,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 39.8 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0021,FALSE,NORMAL,LOW,None,Vendor Miles-Hanson shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0022,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0023,TRUE,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Vendor has expired security certification(s) (ISO27001) that should have been renewed.
VND-0024,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0025,FALSE,NORMAL,LOW,None,"Vendor Hoffman, Santos and Gonzalez shows no anomalous risk indicators; certifications current and risk profile within acceptable range."
VND-0026,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0027,TRUE,EXPIRED_CERTIFICATION,MEDIUM,"SOC2, ISO27001","Vendor has expired security certification(s) (SOC2, ISO27001) that should have been renewed."
VND-0028,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0029,TRUE,CONTRACT_EXPIRED_ACTIVE_ACCESS,HIGH,None,"Vendor's contract expired on 2023-11-13 yet system access has not been revoked, violating offboarding policy."
VND-0030,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 43.3 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0031,FALSE,NORMAL,LOW,None,Vendor Edwards LLC shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0032,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 24.2 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0033,FALSE,NORMAL,LOW,None,Vendor Young and Sons shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0034,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 39.0 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0035,TRUE,VENDOR_UNDER_INVESTIGATION,CRITICAL,None,Vendor is currently under active compliance/security investigation; access should be reviewed immediately.
VND-0036,TRUE,VENDOR_UNDER_INVESTIGATION,CRITICAL,None,Vendor is currently under active compliance/security investigation; access should be reviewed immediately.
VND-0037,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,None,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0038,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0039,TRUE,VENDOR_UNDER_INVESTIGATION,CRITICAL,None,Vendor is currently under active compliance/security investigation; access should be reviewed immediately.
VND-0040,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0041,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0042,FALSE,NORMAL,LOW,None,Vendor Delgado-Barber shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0043,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,None,"Vendor has a documented breach history while holding full_admin access at scope level 8, posing elevated exposure risk."
VND-0044,TRUE,VENDOR_UNDER_INVESTIGATION,CRITICAL,None,Vendor is currently under active compliance/security investigation; access should be reviewed immediately.
VND-0045,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,None,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0046,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0047,TRUE,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Vendor has expired security certification(s) (ISO27001) that should have been renewed.
VND-0048,TRUE,EXPIRED_CERTIFICATION,MEDIUM,"SOC2, ISO27001","Vendor has expired security certification(s) (SOC2, ISO27001) that should have been renewed."
VND-0049,FALSE,NORMAL,LOW,None,Vendor Villa-Rodriguez shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0050,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,None,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0051,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 48.1 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0052,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 55.1 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0053,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 95.2 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0054,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 57.7 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0055,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0056,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0057,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0058,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0059,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0060,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0061,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 87.0 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0062,FALSE,NORMAL,LOW,None,"Vendor Hamilton, Neal and Saunders shows no anomalous risk indicators; certifications current and risk profile within acceptable range."
VND-0063,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,SOC2,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0064,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 54.6 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0065,TRUE,VENDOR_UNDER_INVESTIGATION,CRITICAL,None,Vendor is currently under active compliance/security investigation; access should be reviewed immediately.
VND-0066,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 96.2 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0067,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,None,"Vendor has a documented breach history while holding full_admin access at scope level 9, posing elevated exposure risk."
VND-0068,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,None,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0069,FALSE,NORMAL,LOW,None,"Vendor Murphy, Anderson and Nichols shows no anomalous risk indicators; certifications current and risk profile within acceptable range."
VND-0070,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0071,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0072,TRUE,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Vendor has expired security certification(s) (ISO27001) that should have been renewed.
VND-0073,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0074,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 51.4 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0075,FALSE,NORMAL,LOW,None,Vendor Haynes-Aguirre shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0076,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,None,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0077,FALSE,NORMAL,LOW,None,"Vendor Davis, Reynolds and Turner shows no anomalous risk indicators; certifications current and risk profile within acceptable range."
VND-0078,TRUE,VENDOR_UNDER_INVESTIGATION,CRITICAL,None,Vendor is currently under active compliance/security investigation; access should be reviewed immediately.
VND-0079,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,None,"Vendor has a documented breach history while holding full_admin access at scope level 8, posing elevated exposure risk."
VND-0080,FALSE,NORMAL,LOW,None,"Vendor Davis, Potter and Serrano shows no anomalous risk indicators; certifications current and risk profile within acceptable range."
VND-0081,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,None,"Vendor has a documented breach history while holding full_admin access at scope level 10, posing elevated exposure risk."
VND-0082,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 45.7 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0083,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0084,FALSE,NORMAL,LOW,None,Vendor Rose-Austin shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0085,FALSE,NORMAL,LOW,None,"Vendor Buck, Camacho and Bowers shows no anomalous risk indicators; certifications current and risk profile within acceptable range."
VND-0086,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,None,"Vendor has a documented breach history while holding full_admin access at scope level 9, posing elevated exposure risk."
VND-0087,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 13.5 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0088,FALSE,NORMAL,LOW,None,"Vendor Beard, Andersen and Fields shows no anomalous risk indicators; certifications current and risk profile within acceptable range."
VND-0089,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 39.6 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0090,TRUE,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Vendor has expired security certification(s) (ISO27001) that should have been renewed.
VND-0091,TRUE,CONTRACT_EXPIRED_ACTIVE_ACCESS,HIGH,None,"Vendor's contract expired on 2023-03-19 yet system access has not been revoked, violating offboarding policy."
VND-0092,FALSE,NORMAL,LOW,None,Vendor Hodges Inc shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0093,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0094,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,SOC2,"Vendor has a documented breach history while holding full_admin access at scope level 10, posing elevated exposure risk."
VND-0095,TRUE,VENDOR_UNDER_INVESTIGATION,CRITICAL,None,Vendor is currently under active compliance/security investigation; access should be reviewed immediately.
VND-0096,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0097,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,None,"Vendor has a documented breach history while holding full_admin access at scope level 9, posing elevated exposure risk."
VND-0098,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,None,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0099,TRUE,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Vendor has expired security certification(s) (ISO27001) that should have been renewed.
VND-0100,FALSE,NORMAL,LOW,None,Vendor Hernandez-Jenkins shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0101,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,ISO27001,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0102,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,None,"Vendor has a documented breach history while holding full_admin access at scope level 8, posing elevated exposure risk."
VND-0103,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0104,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,None,"Vendor has a documented breach history while holding full_admin access at scope level 8, posing elevated exposure risk."
VND-0105,TRUE,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Vendor has expired security certification(s) (ISO27001) that should have been renewed.
VND-0106,TRUE,VENDOR_UNDER_INVESTIGATION,CRITICAL,SOC2,Vendor is currently under active compliance/security investigation; access should be reviewed immediately.
VND-0107,TRUE,CONTRACT_EXPIRED_ACTIVE_ACCESS,HIGH,None,"Vendor's contract expired on 2023-09-15 yet system access has not been revoked, violating offboarding policy."
VND-0108,TRUE,EXPIRED_CERTIFICATION,MEDIUM,"SOC2, ISO27001","Vendor has expired security certification(s) (SOC2, ISO27001) that should have been renewed."
VND-0109,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0110,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0111,FALSE,NORMAL,LOW,None,"Vendor Lee, Johnson and Smith shows no anomalous risk indicators; certifications current and risk profile within acceptable range."
VND-0112,FALSE,NORMAL,LOW,None,Vendor Gardner and Sons shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0113,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0114,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,None,"Vendor has a documented breach history while holding full_admin access at scope level 10, posing elevated exposure risk."
VND-0115,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0116,TRUE,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Vendor has expired security certification(s) (ISO27001) that should have been renewed.
VND-0117,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,None,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0118,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0119,FALSE,NORMAL,LOW,None,Vendor Rice Group shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0120,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0121,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0122,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,None,"Vendor has a documented breach history while holding full_admin access at scope level 9, posing elevated exposure risk."
VND-0123,TRUE,VENDOR_UNDER_INVESTIGATION,CRITICAL,None,Vendor is currently under active compliance/security investigation; access should be reviewed immediately.
VND-0124,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0125,FALSE,NORMAL,LOW,None,Vendor Reed-Lang shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0126,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,None,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0127,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,None,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0128,TRUE,CONTRACT_EXPIRED_ACTIVE_ACCESS,HIGH,ISO27001,"Vendor's contract expired on 2025-01-26 yet system access has not been revoked, violating offboarding policy."
VND-0129,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 55.9 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0130,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 36.5 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0131,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,None,"Vendor has a documented breach history while holding full_admin access at scope level 9, posing elevated exposure risk."
VND-0132,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 39.8 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0133,FALSE,NORMAL,LOW,None,Vendor Wilkerson Inc shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0134,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,None,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
