Vendor ID,Name,Category,Risk Score,Risk Tier,Anomaly Type,Severity,Recommended Action,Contract End,Last Assessment
VND-0089,Rivera-Gonzales,HR Platform,23.0,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-03-01,2026-05-18
VND-0382,"Nguyen, Mason and Heath",Cloud Provider,22.4,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-07-24,2025-09-25
VND-0030,"Davis, Phelps and Palmer",Software Vendor,20.0,High,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-02-04,2025-12-26
VND-0078,Avila and Sons,Software Vendor,19.6,High,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2028-06-30,2025-04-08
VND-0149,Garza-Hall,HR Platform,19.4,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-04-23,2026-10-08
VND-0086,Rice-Warren,Contractor,19.0,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-03-09,2026-03-18
VND-0126,Melendez Ltd,Cloud Provider,19.0,High,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-01-08,2024-10-16
VND-0182,"Allen, Ross and Carter",Data Analytics,18.4,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-01-10,2025-11-06
VND-0194,Norton and Sons,IT Services,18.4,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-05-28,2026-09-17
VND-0098,"Hernandez, Jennings and Moore",HR Platform,18.0,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-05-31,2025-10-10
VND-0067,Flores and Sons,Software Vendor,17.9,High,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2027-06-07,2024-10-20
VND-0111,"Lee, Johnson and Smith",Contractor,17.8,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-02-08,2026-05-08
VND-0036,Hansen-Martin,Software Vendor,17.5,High,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-03-25,2026-12-08
VND-0150,Lewis-Powell,Contractor,17.5,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-09-18,2025-08-19
VND-0140,Davis Ltd,Contractor,17.2,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-03-13,2026-03-24
VND-0115,Nolan-Rollins,Cloud Provider,16.6,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-05-01,2025-10-29
VND-0122,"Harris, Edwards and Garner",Software Vendor,16.4,High,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2027-04-07,2024-06-05
VND-0127,"Bean, Meyers and Jones",Cloud Provider,16.4,High,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2026-09-16,2024-04-14
VND-0170,Miller Group,HR Platform,16.2,High,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-11-18,2024-08-18
VND-0279,Walsh PLC,Contractor,16.2,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-01-05,2026-01-29
VND-0371,"Howard, Jones and Harris",Backup Provider,16.2,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-03-25,2026-05-15
VND-0220,"Chang, Miller and Williams",Software Vendor,16.0,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-08-11,2026-02-14
VND-0252,"Villarreal, Smith and Mcdowell",IT Services,16.0,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-10-16,2025-10-30
VND-0301,"Graham, Miller and Evans",Cloud Provider,16.0,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-12-16,2026-08-18
VND-0337,"Walker, Allen and Villarreal",IT Services,16.0,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-03-19,2026-05-13
VND-0330,"Clark, Moore and Ramos",Software Vendor,15.6,High,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2026-10-10,2024-09-15
VND-0393,"Mcpherson, Turner and Martin",Contractor,15.6,High,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-03-17,2025-01-08
VND-0339,Campbell Inc,IT Services,15.5,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-03-02,2026-01-24
VND-0166,Simmons Inc,Consulting,15.0,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-07-14,2026-05-16
VND-0345,"Watson, Simpson and Simmons",Contractor,15.0,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-12-17,2026-03-05
VND-0349,"Gentry, Nash and Navarro",Contractor,15.0,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-01-16,2025-07-14
VND-0384,Gray LLC,Data Analytics,15.0,High,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-08-04,2026-05-09
VND-0288,"Gomez, Johnson and Kennedy",Software Vendor,14.6,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-06-12,2025-06-23
VND-0357,Cisneros and Sons,Software Vendor,14.5,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-10-05,2026-03-04
VND-0332,"Mueller, Santana and Watkins",Software Vendor,14.2,Medium,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2026-01-20,2026-04-22
VND-0175,Rodriguez and Sons,HR Platform,14.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-11-23,2026-08-08
VND-0321,Ali-Silva,Security Vendor,14.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-05-16,2026-11-11
VND-0286,Rivera-Campbell,Backup Provider,13.7,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-08-19,2026-01-26
VND-0048,Peterson-Johnson,Payment Processor,13.6,Medium,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-11-19,2025-06-04
VND-0178,"Harris, Cruz and Reeves",Contractor,13.6,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-12-04,2026-05-20
VND-0039,Koch-Kirk,Software Vendor,13.5,Medium,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-12-01,2024-10-04
VND-0097,Luna-Durham,Security Vendor,13.5,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-04-15,2026-07-05
VND-0198,"Wilcox, Montgomery and Jackson",Contractor,13.5,Medium,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2024-02-10,2026-05-23
VND-0379,Hill PLC,Cloud Provider,13.5,Medium,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-07-31,2026-03-19
VND-0011,Sloan and Sons,Data Analytics,13.2,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-08-29,2026-11-17
VND-0118,Clarke Group,Payment Processor,13.2,Medium,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2027-10-17,2024-02-07
VND-0257,Jones Inc,Payment Processor,13.2,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-11-28,2026-05-19
VND-0134,"Barnes, Smith and Garza",HR Platform,13.1,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-04-26,2026-11-23
VND-0244,"Ray, Baker and Perez",Backup Provider,13.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-02-28,2026-07-27
VND-0310,Elliott LLC,Software Vendor,13.0,Medium,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2024-05-11,2024-10-30
VND-0322,"Hood, Ray and Ellis",Cloud Provider,13.0,Medium,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-09-05,2024-05-23
VND-0331,Ross-Clark,Payment Processor,13.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-11-17,2026-03-23
VND-0372,"Reynolds, Castro and Valdez",Data Analytics,13.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-03-09,2026-11-18
VND-0265,Serrano-Garcia,Contractor,12.8,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-02-02,2026-08-26
VND-0073,Higgins and Sons,Cloud Provider,12.7,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-12-25,2025-10-13
VND-0319,Burke-Russell,Consulting,12.5,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-08-10,2026-07-07
VND-0145,Cardenas PLC,Software Vendor,12.2,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-02-23,2026-08-25
VND-0154,"Ramsey, Newton and Johnson",Contractor,12.2,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-01-26,2026-11-02
VND-0385,"Ford, Morris and Sandoval",Software Vendor,12.2,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-12-24,2026-05-27
VND-0110,Brewer-Rogers,Payment Processor,12.1,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-01-23,2026-07-08
VND-0081,Washington Ltd,Cloud Provider,12.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-11-07,2026-01-27
VND-0094,Nelson-Johnson,Payment Processor,12.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-04-15,2026-08-05
VND-0195,Thompson Inc,Security Vendor,12.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-02-16,2026-05-16
VND-0203,Weber-Walker,Consulting,12.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-10-16,2026-08-31
VND-0360,Freeman-Caldwell,Consulting,11.8,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-07-20,2026-02-03
VND-0066,"Collins, Fleming and Lopez",Software Vendor,11.5,Medium,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-09-09,2025-12-08
VND-0368,"Townsend, Gray and Alexander",Contractor,11.5,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-06-06,2026-07-10
VND-0043,Brown Inc,IT Services,11.4,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-05-30,2026-11-05
VND-0141,"Lee, Walker and Mcgee",IT Services,11.4,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-01-12,2025-12-12
VND-0376,Hernandez-Green,Data Analytics,11.4,Medium,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2028-01-05,2026-08-16
VND-0095,Moreno Ltd,Consulting,11.2,Medium,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2026-06-30,2025-01-28
VND-0114,Gray-Rodriguez,Contractor,11.0,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-06-02,2025-08-05
VND-0002,"Weber, Smith and Mcguire",HR Platform,10.8,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-02-09,2026-12-19
VND-0276,Jimenez-Lopez,Contractor,10.8,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-01-28,2025-07-16
VND-0285,"Deleon, Ortiz and Lin",IT Services,10.6,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-01-12,2026-01-03
VND-0335,Davis and Sons,Software Vendor,10.5,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-03-30,2025-10-14
VND-0344,"Dunlap, Reynolds and Schneider",Contractor,10.5,Medium,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-11-22,2025-11-21
VND-0181,Chavez-Case,Payment Processor,10.4,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-08-18,2026-09-22
VND-0262,"Sanchez, Gould and Perez",Cloud Provider,10.4,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-05-09,2024-07-24
VND-0102,Sanders-Morales,Backup Provider,10.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2026-12-03,2026-10-03
VND-0138,Armstrong Inc,Consulting,10.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-02-28,2026-01-21
VND-0351,Holder Ltd,Software Vendor,10.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-05-22,2025-10-19
VND-0394,Hernandez LLC,Cloud Provider,10.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-04-02,2026-08-30
VND-0045,Goodman-Williams,Payment Processor,9.8,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-12-29,2025-07-09
VND-0079,Martin-Carpenter,Payment Processor,9.4,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2023-05-02,2026-04-05
VND-0084,Rose-Austin,Security Vendor,9.3,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2027-05-05,2026-07-12
VND-0226,Owen Group,IT Services,9.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-10-11,2025-09-18
VND-0236,"Moore, Barrera and Barnes",Contractor,9.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-07-21,2025-07-17
VND-0247,"Mathis, Lee and English",Contractor,8.8,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2024-05-09,2024-01-08
VND-0333,"Miller, Perez and Fuentes",Security Vendor,8.8,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-08-09,2026-07-02
VND-0123,Shah LLC,Cloud Provider,8.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2027-12-26,2025-11-21
VND-0249,"West, Brooks and Andrews",IT Services,8.5,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2025-03-07,2025-10-21
VND-0290,"Mckinney, Bowen and Rice",Cloud Provider,8.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2026-03-26,2026-01-10
VND-0308,Haynes-Williams,Cloud Provider,8.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-10-11,2025-06-24
VND-0328,Martin and Sons,Consulting,8.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2028-08-18,2024-07-02
VND-0346,Strickland PLC,Contractor,8.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2028-05-07,2026-01-09
VND-0007,"Washington, Graves and Martinez",Contractor,8.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-01-16,2026-03-23
VND-0013,Stone-Stephenson,Software Vendor,8.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2024-03-03,2025-12-05
VND-0083,Schwartz-Mahoney,Payment Processor,8.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2028-08-06,2026-04-13
VND-0156,Blake-Mccullough,Consulting,8.0,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2024-11-12,2026-07-06
VND-0035,"Martinez, Sharp and Stevens",Cloud Provider,7.9,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-04-02,2026-05-30
VND-0324,Smith-Jackson,Contractor,7.9,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-10-20,2025-01-14
VND-0006,"Lee, Hall and Parker",Security Vendor,7.8,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2024-09-26,2026-03-27
VND-0378,Wilcox Inc,Backup Provider,7.7,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2028-04-10,2024-08-31
VND-0169,Arnold and Sons,Contractor,7.5,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2026-01-04,2026-03-26
VND-0387,"Sloan, Perkins and Sims",Cloud Provider,7.2,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-11-10,2025-03-16
VND-0019,Ferrell-Pena,Software Vendor,7.0,Low,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,Immediate compliance meeting required — breached vendor has sensitive data access.,2027-01-10,2026-11-16
VND-0136,Jackson Inc,IT Services,7.0,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-10-29,2026-01-19
VND-0366,Hodge-Mora,Software Vendor,7.0,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2023-06-28,2024-12-08
VND-0396,Hunter Inc,Security Vendor,7.0,Low,VENDOR_UNDER_INVESTIGATION,CRITICAL,Suspend new data sharing until investigation concludes.,2025-06-25,2026-01-01
